city,country,latitude,longitude,temperature,humidity,windspeed,cloudiness
Butaritari,KI,3.0707,172.7902,80.96,78,14.54,45
Sibolga,ID,1.7427,98.7792,76.82,91,2.48,91
Mount Darwin,ZW,-16.7725,31.5838,69.64,77,4.03,33
Tasiilaq,GL,65.6145,-37.6368,6.8,56,9.22,20
Domoni,KM,-12.2569,44.5319,80.92,79,1.3,65
Albany,US,42.6001,-73.9662,70.68,42,7.0,67
Codrington,AU,-38.2667,141.9667,57.0,87,10.69,100
Busselton,AU,-33.65,115.3333,50.5,92,5.66,0
Mahébourg,MU,-20.4081,57.7,78.8,89,3.44,75
Ushuaia,AR,-54.8,-68.3,53.6,43,6.91,40
Burē,ET,10.7,37.0667,71.98,21,4.54,84
Punta Arenas,CL,-53.15,-70.9167,53.29,54,21.85,75
Rikitea,PF,-23.1203,-134.9692,79.36,70,19.8,8
Maceió,BR,-9.6658,-35.7353,82.4,74,8.05,75
Hilo,US,19.7297,-155.09,68.81,73,8.05,75
Port Lincoln,AU,-34.7333,135.8667,60.28,72,10.96,71
Vanimo,PG,-2.6741,141.3028,76.1,87,4.38,99
Provideniya,RU,64.3833,-173.3,0.43,96,14.79,100
Guiratinga,BR,-16.3494,-53.7583,86.63,41,6.22,62
Hithadhoo,MV,-0.6,73.0833,83.55,68,6.91,99
Malanje,AO,-9.5402,16.341,65.48,94,3.42,100
Mataura,NZ,-46.1927,168.8643,57.0,85,3.0,92
Atuona,PF,-9.8,-139.0333,80.65,72,20.76,34
Saskylakh,RU,71.9167,114.0833,0.0,99,2.68,99
Dingle,PH,10.9995,122.6711,76.06,90,7.25,72
Cape Town,ZA,-33.9258,18.4232,65.66,82,9.22,20
Lompoc,US,34.6391,-120.4579,54.75,67,4.7,20
Kamimaruko,JP,36.3167,138.2667,32.94,85,2.71,27
Jalingo,NG,8.8833,11.3667,91.98,12,5.26,44
Norman Wells,CA,65.282,-126.8329,12.2,67,5.75,75
Salalah,OM,17.0151,54.0924,82.4,44,2.3,0
Port Moresby,PG,-9.4431,147.1797,78.8,94,4.61,75
George Town,MY,5.4112,100.3354,77.43,94,5.08,40
Hermanus,ZA,-34.4187,19.2345,66.99,68,1.99,4
Praxédis Guerrero,MX,31.3667,-106.0167,62.62,20,8.05,1
Hobart,AU,-42.8794,147.3294,55.26,77,5.75,100
Saint-Philippe,RE,-21.3585,55.7679,75.49,78,3.44,75
Grindavik,IS,63.8424,-22.4338,24.8,58,12.66,40
San Quintín,MX,30.4833,-115.95,58.86,61,13.53,60
Kapaa,US,22.0752,-159.319,68.77,94,3.44,75
Atasū,KZ,48.6814,71.6433,34.93,99,17.9,100
College,US,64.8569,-147.8028,18.12,86,3.44,90
Santa Cruz de la Sierra,BO,-17.8,-63.1667,86.68,66,23.02,75
Qaqortoq,GL,60.7167,-46.0333,12.2,37,3.44,20
Hasaki,JP,35.7333,140.8333,39.2,81,2.3,0
Isangel,VU,-19.55,169.2667,77.05,86,7.45,38
